,곡명,아티스트,앨범,좋아요수
1,바람의 노래,조용필,조용필 16집,"26,577"
2,꿈,조용필,The Dreams,"16,278"
3,HOT 잊혀진 사랑,조용필,30주년 기념 음반 Part 1,"2,418"
4,Bounce,조용필,Hello,"40,016"
5,HOT 단발머리,조용필,조용필 1집 (Remastered),"11,089"
6,그 겨울의 찻집,조용필,조용필 40주년 기념 콘서트 - The History 킬리만자로의 표범,"6,179"
7,HOT 이젠 그랬으면 좋겠네,조용필,90-Vol.1 Sailng Sound,"20,838"
8,기다리는 아픔,조용필,Ambition,"4,836"
9,모나리자,조용필,'88 조용필 10집,"6,893"
10,HOT 창밖의 여자,조용필,조용필 1집 (Remastered),"3,579"
11,HOT 상처,조용필,30주년 기념 음반 Part 1,"1,730"
12,그대 발길 머무는 곳에,조용필,사랑과 인생과 나,"3,412"
13,돌아와요 부산항에,조용필,조용필 1집 (Remastered),"2,656"
14,HOT 고추잠자리,조용필,30주년 기념음반 Part 2,"4,068"
15,여행을 떠나요,조용필,조용필 7집,"10,337"
16,HOT 킬리만자로의 표범,조용필,조용필 8집 (Remastered),"7,841"
17,이젠 그랬으면 좋겠네 (원곡가수 조용필),박정현,나는 가수다 명곡 Best 10,"14,018"
18,친구여,조용필,조용필 5집,"2,062"
19,허공,조용필,조용필 8집 (Remastered),"3,549"
20,HOT 여행을 떠나요,조용필,30주년 기념음반 Part 3,328
21,그 겨울의 찻집,조용필,조용필 8집 (Remastered),"3,633"
22,바람이 전하는 말,조용필,조용필 8집 (Remastered),"1,365"
23,모나리자 (원곡가수 조용필),국카스텐,'나는 가수다 2' 2012 가왕전 7강전,"8,225"
24,들꽃,조용필,조용필 7집,670
25,걷고 싶다,조용필,Hello,"18,874"
26,Q,조용필,조용필 제10집 Part.Ⅱ,"2,905"
27,HOT 어제 오늘 그리고,조용필,30주년 기념음반 Part 2,"2,313"
28,기다리는 아픔,유상록,유상록의 Remake 조용필 Best 1,163
29,내 이름은 구름이여,조용필,조용필,"1,080"
30,HOT 돌아와요 부산항에,조용필,30주년 기념 음반 Part 1,561
31,봄날은 간다,조용필,조용필 옛노래,681
32,타타타,권윤경,"짚시 로망스 카페노래 1, 2 (조용필 & 나훈아 힛트곡편)",36
33,HOT 일편단심 민들레야,조용필,30주년 기념음반 Part 2,"1,272"
34,HOT 애상,조용필,조용필 16집,355
35,HOT 비련,조용필,조용필 4집,"1,995"
36,고추잠자리,조용필,조용필 3집,"1,809"
37,서울 서울 서울,조용필,'88 조용필 10집,"2,272"
38,강원도 아리랑,조용필,조용필 3집,679
39,바람의 노래,조용필,조용필 40주년 기념 콘서트 - The History 킬리만자로의 표범,"1,670"
40,HOT 한오백년,조용필,조용필 1집 (Remastered),"1,217"
41,HOT 물망초,조용필,조용필 3집,738
42,그래도 돼,조용필,20,"6,944"
43,추억 속의 재회,조용필,조용필 BEST 1집,926
44,HOT 세월,조용필,조용필 2집,345
45,기다리는 아픔,조용필,조용필 40주년 기념 콘서트 - The History 킬리만자로의 표범,746
46,못찾겠다 꾀꼬리,조용필,조용필 4집,"2,172"
47,꿈 (2024 Remastered Ver.),조용필,웰컴투 삼달리 X 조용필 (2024 Remastering),"1,088"
48,사랑은 아직도 끝나지 않았네,조용필,조용필 1집 (Remastered),752
49,HOT 걷고 싶다,조용필,45TH ANNIVERSARY CONCERT HELLO,"1,540"
50,잊혀진 사랑,조용필,조용필 1집 (Remastered),684
