상가업소번호,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소,위도,경도,브랜드명,가장가까운스타벅스,스타벅스까지거리_m,거리구간,자치구
MA010120220808205276,칸토빈,음식,비알코올 ,카페,서울특별시 강서구 방화동로 30,37.5635475852734,126.810493420523,기타커피전문점,송정역  ,291.2089923151578,100 ~ 300m,강서구
MA010120220812914468,빽다방구산역점,음식,비알코올 ,카페,서울특별시 은평구 연서로 129,37.6104768451556,126.916688383878,빽다방,구산역  ,165.7806817985034,100 ~ 300m,은평구
MA010120220806903716,맹커피숍,음식,비알코올 ,카페,서울특별시 은평구 불광로 27,37.6107731011514,126.928817890541,기타커피전문점,불광역8번출구  ,135.50613592339715,100 ~ 300m,은평구
MA010120220802781563,담다,음식,비알코올 ,카페,서울특별시 동대문구 왕산로19가길 67,37.58106662274,127.031631467997,기타커피전문점,고대  ,365.04123250541033,300 ~ 500m,동대문구
MA010120220802680776,초원,음식,비알코올 ,카페,서울특별시 동대문구 왕산로 9,37.5762840402806,127.024497537235,기타커피전문점,신설동역  ,104.37778996313362,100 ~ 300m,동대문구
MA010120220803636048,아인스,음식,비알코올 ,카페,서울특별시 동대문구 왕산로 28,37.5764006677187,127.026806958667,기타커피전문점,신설동역  ,116.871465182661,100 ~ 300m,동대문구
MA010120220803646203,풍물주류,소매,음료 소매,주류 소매업,서울특별시 동대문구 천호대로4길 21,37.5727068781748,127.025503840736,기타커피전문점,황학캐슬  ,256.90409641473707,100 ~ 300m,동대문구
MA010120220803652452,카페이너프,음식,비알코올 ,카페,서울특별시 동대문구 청계천로 471,37.5703993602189,127.029657346202,기타커피전문점,황학캐슬  ,588.5323336539602,500 ~ 1km,동대문구
MA010120220806693251,더블에이치,음식,비알코올 ,카페,서울특별시 동대문구 왕산로 106,37.5779481916096,127.035139578204,기타커피전문점,경동1960  ,363.2192672639729,300 ~ 500m,동대문구
MA010120220803656104,가비,음식,비알코올 ,카페,서울특별시 동대문구 무학로 125-1,37.5756249605777,127.03032732142,기타커피전문점,신설동역  ,438.8080136292588,300 ~ 500m,동대문구
MA010120220805501036,카페어텐디,음식,기타 간이,빵/도넛,서울특별시 동대문구 왕산로 110,37.5779300633376,127.035501833277,기타커피전문점,경동1960  ,337.2691653681028,300 ~ 500m,동대문구
MA010120220803684695,동아쏘시오그룹공제회,음식,비알코올 ,카페,서울특별시 동대문구 무학로25길 16,37.5735348313349,127.029624629344,기타커피전문점,신설동역  ,504.9230017722485,500 ~ 1km,동대문구
MA010120220803647639,카페아임,음식,비알코올 ,카페,서울특별시 동대문구 천호대로 23,37.5745987908135,127.026308222491,기타커피전문점,신설동역  ,245.57952293228902,100 ~ 300m,동대문구
MA010120220800213300,카페트렌,음식,비알코올 ,카페,서울특별시 마포구 와우산로37길 35,37.5579194519252,126.926536751093,기타커피전문점,홍대동교  ,52.14282091364324,50 ~ 100m,마포구
MA010120220807755149,분더바,음식,비알코올 ,카페,서울특별시 동대문구 왕산로9길 24,37.5782474673848,127.027837812231,기타커피전문점,신설동역  ,263.7850099231256,100 ~ 300m,동대문구
MA010120220804930574,달커피,음식,비알코올 ,카페,서울특별시 동대문구 고산자로28가길 19,37.575712018496,127.040470436458,기타커피전문점,경동1960  ,461.5404461457024,300 ~ 500m,동대문구
MA010120220813859076,커피니,음식,비알코올 ,카페,서울특별시 동대문구 왕산로 168,37.5788108396823,127.04218156507,기타커피전문점,청량리역롯데캐슬스카이  ,281.7942433640871,100 ~ 300m,동대문구
MA010120220811503617,오슬랑커피,음식,비알코올 ,카페,서울특별시 동대문구 청계천로 443,37.5712740716048,127.02652212785,기타커피전문점,황학캐슬  ,301.92562328606107,300 ~ 500m,동대문구
MA010120220809402272,카페림,음식,비알코올 ,카페,서울특별시 동대문구 천호대로27길 8-2,37.5744966591267,127.037492561564,기타커피전문점,경동1960  ,578.6548552127186,500 ~ 1km,동대문구
MA010120220810316301,엘리커피,음식,비알코올 ,카페,서울특별시 동대문구 안암로 30-4,37.5796894859136,127.025959062458,기타커피전문점,신설동역  ,331.8962399215467,300 ~ 500m,동대문구
MA010120220809682550,페이지2726,음식,비알코올 ,카페,서울특별시 동대문구 고산자로30길 13,37.5760909127349,127.039055584176,기타커피전문점,경동1960  ,393.11988837609107,300 ~ 500m,동대문구
MA010120220808600488,다온빌딩,예술·스포츠,도서관·사적지,독서실/스터디 카페,서울특별시 동대문구 천호대로 11-7,37.5752838487791,127.024916062049,기타커피전문점,신설동역  ,169.3206571309284,100 ~ 300m,동대문구
MA010120220811892708,아이티플라잉,음식,비알코올 ,카페,서울특별시 중랑구 용마산로96길 6,37.5902925198911,127.097838661304,기타커피전문점,면목역  ,940.4171641799209,500 ~ 1km,중랑구
MA010120220813099936,하우스서울,음식,비알코올 ,카페,서울특별시 송파구 백제고분로9길 5,37.5093875338269,127.07965898726,기타커피전문점,잠실본동  ,83.9295877011297,50 ~ 100m,송파구
MA010120220810171848,썸띵에스프레소,음식,비알코올 ,카페,서울특별시 송파구 위례성대로20길 29,37.5088322534717,127.127274716226,기타커피전문점,방이역  ,58.10539746173981,50 ~ 100m,송파구
MA010120220803462145,업소명없음,예술·스포츠,도서관·사적지,독서실/스터디 카페,서울특별시 중구 다산로 156,37.5575812487636,127.012472059774,기타커피전문점,약수역  ,283.82666804118844,100 ~ 300m,중구
